country,date,experiment_id,order_id,spend_usd,user_id,vertical
JP,20170402,12624548,5813140433216629693,16.138855,5006730028073359543,ANDROID_APPS
US,20170403,12624549,16333056276711034931,9.99,5938685669571545259,ANDROID_APPS
JP,20170404,12624548,11227119161741298366,19.887087,17623708458399141713,ANDROID_APPS
US,20170403,12624548,11927299833124210932,19.99,18042812344456618148,ANDROID_APPS
JP,20170403,12624549,11644727017708872749,88.220093,4325104700699531031,ANDROID_APPS
FR,20170406,12624548,2887851716418524034,10.641677,15563614621402392174,ANDROID_APPS
US,20170406,12624548,8835194413765780524,9.99,793284520969747371,ANDROID_APPS
US,20170402,12624549,2761291987218019434,10.09,4877509876568871706,MUSIC
US,20170405,12624548,9027895522629963459,9.99,3647559719307779196,ANDROID_APPS
US,20170405,12624548,2588200289165850850,19.99,3647559719307779196,ANDROID_APPS
KR,20170402,12624548,163542271130138050,1.967007,234343989879687882,ANDROID_APPS
KR,20170402,12624548,18314448354305184003,1.967007,234343989879687882,ANDROID_APPS
JP,20170402,12624549,1931426249776431110,5.379618,1925282073030462007,ANDROID_APPS
US,20170402,12624549,16273876950050275625,10.67,2825758151779042993,MUSIC
US,20170407,12624548,10840886354488278741,1.99,9548909044371812783,ANDROID_APPS
US,20170407,12624548,13509704498549969641,1.99,9548909044371812783,ANDROID_APPS
FR,20170404,12624548,10156729419384894204,2.122063,7177229992970966269,ANDROID_APPS
US,20170401,12624549,17866604156934800547,9.99,17061805777408420188,ANDROID_APPS
US,20170401,12624549,17172758733364150210,4.99,17061805777408420188,ANDROID_APPS
US,20170401,12624549,4309427141110727791,9.99,17061805777408420188,ANDROID_APPS
US,20170401,12624549,13054750004532361873,4.99,17061805777408420188,ANDROID_APPS
US,20170401,12624549,9668472000207734522,19.99,17061805777408420188,ANDROID_APPS
ID,20170404,12624549,17859748408594464317,0.900209,9149768684639718630,ANDROID_APPS
GB,20170407,12624548,16447787927329176121,2.467122,8194296029841078338,ANDROID_APPS
GB,20170402,12624549,9711595975487748780,4.993586,3196750080339569107,ANDROID_APPS
GB,20170407,12624549,13108513329546069822,2.21917,3196750080339569107,ANDROID_APPS
US,20170406,12624548,15497417806611168788,9.99,11852286259447629475,ANDROID_APPS
IT,20170401,12624548,14694857484980201220,2.123837,13600555877110054452,ANDROID_APPS
IT,20170402,12624548,8457069893257724816,2.123837,13600555877110054452,ANDROID_APPS
BR,20170407,12624549,3710803681919434513,3.771692,4131707298051750259,ANDROID_APPS
BR,20170402,12624548,2660757469929394607,3.336527,11340641062148098093,ANDROID_APPS
US,20170406,12624549,17723644998323795616,49.99,13842238145066187343,ANDROID_APPS
US,20170407,12624549,1964744744870788673,149.99,13842238145066187343,ANDROID_APPS
US,20170407,12624549,11326264263337791402,9.99,13471689863152791651,ANDROID_APPS
US,20170402,12624549,9931896222358163268,4.99,13471689863152791651,ANDROID_APPS
KR,20170402,12624549,4813890974975426566,11.310295,18330609356568098038,ANDROID_APPS
BR,20170402,12624549,365726256905405314,1.908863,10556150868494322135,ANDROID_APPS
BR,20170402,12624549,17682041796378958063,1.908863,10556150868494322135,ANDROID_APPS
US,20170407,12624548,10306036482351784693,2.13,2988512218758753710,YOUTUBE
CA,20170402,12624549,4218179032994987637,10.501937,202961947306783887,ANDROID_APPS
DE,20170403,12624549,11445316869121932344,18.119725,2228739223493429437,ANDROID_APPS
JP,20170401,12624549,7104670035152263784,5.379618,13151664051368694565,ANDROID_APPS
JP,20170401,12624549,403582269745805616,98.62634,13151664051368694565,ANDROID_APPS
JP,20170404,12624549,12511162221258255544,30.734589,15419253894502388784,ANDROID_APPS
JP,20170404,12624549,11923055776625895136,1.08475,15419253894502388784,ANDROID_APPS
JP,20170403,12624548,10166086852447820256,7.593251,15326020185077571145,ANDROID_APPS
JP,20170404,12624548,14404281228847500456,4.339,15326020185077571145,ANDROID_APPS
BR,20170401,12624549,1193830260094712146,10.194415,11153963548872096601,ANDROID_APPS
US,20170407,12624548,6096896781177796644,2.99,6775701572408211129,ANDROID_APPS
GB,20170402,12624549,3111379860331404724,1.864772,4336913230386407024,ANDROID_APPS
FR,20170407,12624548,2068657655865447032,10.599031,12520558659399521778,ANDROID_APPS
CA,20170405,12624549,326656862182745185,11.174142,9860379880268373582,YOUTUBE
CA,20170407,12624549,11681889430753969974,2.231769,9860379880268373582,YOUTUBE
CA,20170407,12624549,16422205994779978003,2.231769,9860379880268373582,YOUTUBE
FR,20170407,12624549,11764197416510323937,5.29421,4148550610733216994,ANDROID_APPS
HK,20170401,12624549,12372262336866317438,1.930298,9043210420728993029,ANDROID_APPS
US,20170406,12624549,3967168323016393856,4.99,7435745935081363756,ANDROID_APPS
IE,20170401,12624548,6571624106946931656,10.661877,3830030832393039913,ANDROID_APPS
US,20170407,12624549,8745560198232330739,4.99,7350832311852708462,ANDROID_APPS
IT,20170407,12624548,11295306925763619763,1.050354,9611183753938592610,ANDROID_APPS
IT,20170407,12624548,3245673770084430254,1.050354,9611183753938592610,ANDROID_APPS
IT,20170407,12624548,8810238074678572604,1.050354,9611183753938592610,ANDROID_APPS
IT,20170407,12624548,13063500064520043650,1.050354,9611183753938592610,ANDROID_APPS
IN,20170401,12624549,13496650919403616957,2.004537,6216554958140650356,ANDROID_APPS
JP,20170404,12624549,63781979727672128,1.08475,8787247273186376962,ANDROID_APPS
JP,20170403,12624549,16982382513983686635,1.080246,8787247273186376962,ANDROID_APPS
JP,20170406,12624549,16377285000894324793,1.083079,8787247273186376962,ANDROID_APPS
JP,20170402,12624549,14792386506038530689,10.759237,8787247273186376962,ANDROID_APPS
JP,20170402,12624549,7702052775965007481,1.075923,8787247273186376962,ANDROID_APPS
JP,20170401,12624549,10645063674940223163,1.075923,8787247273186376962,ANDROID_APPS
JP,20170405,12624549,3625074245719294367,1.082601,8787247273186376962,ANDROID_APPS
